feature,importance,importance_norm
mcc_count_14,20.21642410019608,0.20216424100196084
mcc_count_12,4.879063971015006,0.04879063971015007
dist_competitor_atm_km,2.987189065593817,0.029871890655938177
sum_per_customer,2.2571707772197134,0.02257170777219714
unique_mcc,2.237065050448523,0.022370650504485237
mcc_entropy,2.1999362827947513,0.021999362827947518
time_count_2,2.1890563905185214,0.02189056390518522
mcc_count_8,2.0816294852548625,0.02081629485254863
time_count_3,1.7939057413902748,0.017939057413902754
time_count_1,1.7589861987141497,0.017589861987141502
peak_mcc_share,1.748409523555571,0.017484095235555715
peak_time_share,1.7133748780293927,0.01713374878029393
atm_users_count_ring1,1.7093720898987552,0.017093720898987558
tx_max,1.6726859190945302,0.01672685919094531
tx_min,1.6150099964140854,0.01615009996414086
time_entropy,1.4603672420013545,0.01460367242001355
mcc_count_11,1.45097595989964,0.014509759598996403
dist_office_km,1.3532704685883252,0.013532704685883256
dist_mall_km,1.337309505175047,0.013373095051750473
competitor_atm_in_cell,1.2885216496384857,0.01288521649638486
log_tx_count,1.2739125164507927,0.01273912516450793
dist_hospital_km,1.206304860768438,0.012063048607684382
mcc_count_5,1.2049477711285181,0.012049477711285185
mcc_count_13,1.1986599030902272,0.011986599030902276
unique_customers,1.1793306807904431,0.011793306807904434
tx_per_customer,1.1612676020689086,0.011612676020689088
lat,1.1563570567607186,0.011563570567607189
atm_users_count_ring2,1.116825575056117,0.011168255750561172
unique_customers_ring1,1.0697208537365248,0.010697208537365251
tx_sum,1.0474604329756068,0.01047460432975607
row_count,1.0225913250137932,0.010225913250137936
tx_unique_tx,0.9932331841523792,0.009932331841523794
tx_sum_ring1,0.9742562519417125,0.009742562519417127
dist_school_km,0.9609825642571981,0.009609825642571984
lon,0.9541774030565322,0.009541774030565324
dist_supermarket_km,0.9410582202313367,0.00941058220231337
unique_customers_ring2,0.882563727071922,0.008825637270719222
tx_std_row,0.8258807090823576,0.008258807090823578
business_intensity,0.8000034108975146,0.008000034108975148
mcc_count_0,0.7799069117732775,0.007799069117732777
high_flow_intensity,0.7761009799367804,0.0077610097993678065
tx_count_ring2,0.7715291552231468,0.007715291552231471
dist_vtb_atm_km,0.7627017094630638,0.00762701709463064
dist_university_km,0.7621334253594667,0.007621334253594669
dist_vtb_branch_km,0.760265611752079,0.007602656117520792
dist_to_city_center_km,0.7463935547263508,0.00746393554726351
dist_metro_km,0.7381877612900916,0.007381877612900918
mcc_count_17,0.7299602453792566,0.007299602453792568
avg_ticket,0.7254362607094977,0.00725436260709498
social_intensity,0.6942764784089825,0.0069427647840898275
tx_sum_ring2,0.6832301323387071,0.006832301323387073
tx_avg_row,0.6589839140254209,0.006589839140254211
mcc_count_10,0.6187125329066024,0.006187125329066026
time_count_0,0.6018396441409324,0.006018396441409325
metro_ring1,0.5925720764098225,0.005925720764098226
network_gap_score,0.5741634336026318,0.005741634336026319
dist_vtb_service_km,0.5616752313365763,0.005616752313365764
tx_count_ring1,0.5539543313131172,0.005539543313131174
hospital_ring1,0.5418051078011471,0.005418051078011472
coverage_gap_score,0.5244615528369214,0.005244615528369216
mcc_count_18,0.5133700311464728,0.00513370031146473
mcc_count_6,0.494139782303607,0.004941397823036072
tx_count,0.46244719188548383,0.004624471918854839
competitor_atm_ring2,0.4347351278921368,0.00434735127892137
competitor_pressure,0.43181119550602615,0.004318111955060263
metro_ring2,0.430568630913084,0.004305686309130841
metro_in_cell,0.3432846378517819,0.00343284637851782
log_tx_sum,0.32229698543760615,0.0032229698543760625
hospital_ring2,0.2843023147139653,0.0028430231471396534
mcc_count_2,0.2716995196139744,0.002716995196139745
competitor_atm_ring1,0.2527285062225847,0.0025272850622258475
mcc_count_16,0.2451339959489952,0.0024513399594899526
mcc_count_9,0.23435407797795985,0.0023435407797795993
mcc_count_1,0.22996010649816123,0.002299601064981613
school_ring2,0.22706079467812113,0.002270607946781212
mall_ring1,0.2097927682352594,0.002097927682352595
hospital_in_cell,0.20720590235718117,0.0020720590235718123
mcc_count_4,0.1969199684850613,0.0019691996848506133
school_ring1,0.1609703967529829,0.0016097039675298296
university_ring1,0.15992221091163675,0.0015992221091163678
mall_ring2,0.15586701311701776,0.001558670131170178
vtb_branch_ring1,0.1556830536948773,0.0015568305369487736
mcc_count_7,0.14384687217759604,0.0014384687217759609
unique_time_buckets,0.14269219145439208,0.0014269219145439211
mcc_count_15,0.14122100862258502,0.0014122100862258506
vtb_branch_in_cell,0.1388917278874781,0.0013889172788747815
mall_in_cell,0.13578404330598884,0.0013578404330598889
mcc_count_3,0.13172385872759662,0.0013172385872759667
school_in_cell,0.09689303828670992,0.0009689303828670995
mcc_count_19,0.09637183434239571,0.0009637183434239574
university_ring2,0.09507079132059451,0.0009507079132059454
vtb_network_density,0.09204124177170513,0.0009204124177170515
mcc_count_20,0.07396047656274382,0.0007396047656274384
mcc_count_21,0.06857300677090897,0.0006857300677090899
vtb_branch_ring2,0.06458292313263414,0.0006458292313263415
mcc_count_22,0.03475875719009403,0.0003475875719009404
office_ring2,0.01931610597782854,0.00019316105977828545
office_ring1,0.015763294559522998,0.00015763294559523002
university_in_cell,0.006641447676977951,6.641447676977953e-05
mcc_count_23,6.477338243808229e-05,6.47733824380823e-07
supermarket_in_cell,0.0,0.0
supermarket_ring1,0.0,0.0
vtb_atm_ring2,0.0,0.0
vtb_atm_ring1,0.0,0.0
vtb_atm_in_cell,0.0,0.0
office_in_cell,0.0,0.0
supermarket_ring2,0.0,0.0
